"","x"
"258","motorcycle"
"259","boat"
"260","dryer"
"261","hose"
"262","potato chip"
"263","closet"
"264","radio"
"265","party"
"266","window"
"267","garage"
"268","good night"
"269","roof"
"270","shovel"
"271","penny"
"272","tricycle"
"273","pen"
"274","horse"
"275","yard"
"276","telephone"
"277","tissue"
"278","pool"
"279","present"
"280","towel"
"281","picture"
"282","balloon"
"283","little (description)"
"284","sofa"
"285","book"
"286","lamp"
"287","daddy"
"288","broom"
"289","zipper"
"290","door"
"291","toe"
"292","dog"
"293","person"
"294","rocking chair"
"295","camera"
"296","light"
"297","button"
"298","lady"
"299","bus"
"300","tv"
"301","movie"
"302","story"
"303","farm"
"304","cat"
"305","flower"
"306","puzzle"
"307","toy (object)"
"308","game"
"309","bicycle"
"310","fireman"
"311","man"
"312","ladder"
"313","block"
"314","firetruck"
"315","street"
"316","hen"
"317","tree"
"318","airplane"
"319","truck"
"320","tractor"
"321","train"
"322","mailman"
"323","doctor"
"324","girl"
"325","squirrel"
"326","snowman"
"327","pumpkin"
"328","bug"
"329","bunny"
"330","mouse"
"331","sled"
"332","wolf"
"333","rock (object)"
"334","stone"
"335","walker"
"336","sun"
"337","sky"
"338","clown"
"339","monkey"
"340","lion"
"341","moose"
"342","circus"
"343","baby"
"344","doll"
"345","country"
"346","clock"
"347","cow"
"348","helicopter"
"349","bat"
"350","alligator"
"351","duck"
"352","kitty"
"353","puppy"
"354","beach"
"355","snow"
"356","pony"
"357","turtle"
"358","tiger"
"359","pig"
"360","rooster"
"361","moon"
"362","lamb"
"363","flag"
"364","cloud"
"365","church"
"366","chalk"
"367","sheep"
"368","giraffe"
"369","bee"
"370","hammer"
"371","owl"
"372","penguin"
"373","bear"
"374","butterfly"
"375","goose"
"376","star"
"377","zoo"
"378","park"
"379","nurse"
"380","bird"
"381","elephant"
"382","donkey"
"383","deer"
"384","boy"
"385","watch (object)"
"386","zebra"
"387","hug"
"388","plant"
"389","stairs"
"390","slide (object)"
"391","kiss"
"392","animal"
"393","teddybear"
"394","cowboy"
"395","police"
"396","day"
"397","ant"
"398","washing machine"
"399","swing (action)"
"400","rain"
"401","dress (object)"
"402","smile"
"403","owie"
"404","call on phone"
"405","mop"
"406","vacuum"
"407","wind"
"408","school"
"409","skate"
"410","ride"
"411","morning"
"412","time"
"413","brush (object)"
"414","aunt"
"415","same"
"416","grrr"
"417","back (location)"
"418","next to"
"419","pickle"
"420","glue"
"421","peanut butter"
"422","other"
"423","walk"
"424","dry (action)"
"425","downtown"
"426","shopping"
"427","stick"
"428","bump"
"429","dance"
"430","dark"
"431","yellow"
"432","new"
"433","meow"
"434","black"
"435","green"
"436","blue"
"437","red"
"438","white"
"439","tiny"
"440","broken"
"441","cold"
"442","camping"
"443","splash"
"444","yesterday"
"445","hot"
"446","outside"
"447","home"
"448","woof woof"
"449","later"
"450","windy"
"451","wet (description)"
"452","soft"
"453","first"
"454","yucky"
"455","moo"
"456","high"
"457","big"
"458","swim"
"459","sleep"
"460","fish (animal)"
"461","night"
"462","noisy"
"463","gentle"
"464","old"
"465","hungry"
"466","awake"
"467","then"
"468","bite"
"469","above"
"470","baa baa"
"471","there"
"472","empty"
"473","tickle"
"474","pretend"
"475","lick"
"476","stuck"
"477","sweep"
"478","sleepy"
"479","cook"
"480","jump"
"481","slow"
"482","heavy"
"483","sticky"
"484","sad"
"485","dirty"
"486","mad"
"487","cute"
"488","fine"
"489","quiet"
"490","nice"
"491","naughty"
"492","bad"
"493","lawn mower"
"494","hard"
"495","fast"
"496","scared"
"497","thirsty"
"498","careful"
"499","loud"
"500","asleep"
"501","clean (action)"
"502","wait"
"503","clap"
"504","good"
"505","thank you"
"506","french fries"
"507","wash"
"508","yes"
"509","watch (action)"
"510","happy"
"511","where (question)"
"512","taste"
"513","close"
"514","bye"
"515","off"
"516","away"
"517","out"
"518","here"
"519","hurry"
"520","pretty"
"521","behind"
"522","under"
"523","uh oh"
"524","ouch"
"525","cry"
"526","please"
"527","vroom"
"528","pattycake"
"529","peekaboo"
"530","play"
"531","hide"
"532","dump"
"533","drive"
"534","comb (object)"
"535","eat"
"536","sing"
"537","pour"
"538","chase"
"539","share"
"540","too"
"541","not"
"542","hit"
"543","beside"
"544","shh"
"545","spill"
"546","feed"
"547","talk"
"548","show"
"549","fit"
"550","look"
"551","shake"
"552","break"
"553","cut"
"554","finish"
"555","wipe"
"556","sit"
"557","poor"
"558","run"
"559","kick"
"560","pull"
"561","touch"
"562","draw"
"563","climb"
"564","wake"
"565","stay"
"566","get"
"567","find"
"568","take"
"569","put"
"570","bring"
"571","fall"
"572","stand"
"573","blow"
"574","knock"
"575","push"
"576","fix"
"577","hear"
"578","give"
"579","help"
"580","hold"
"581","try"
"582","buy"
"583","make"
"584","build"
"585","go"
"586","carry"
"587","write"
"588","listen"
"589","see"
"590","pick"
"591","read"
"592","throw"
"593","say"
"594","drop"
"595","paint (action)"
"596","rip"
"597","tear"
"598","catch"
"599","be"
"600","stop"
"601","open (action)"
"602","like"
"603","need"
"604","have"
"605","now"
"606","love"
"607","wish"
"608","think"
"609","do"
"610","high chair"
"611","were"
"612","hate"
"613","am"
"614","for"
"615","hello"
"616","is"
"617","are"
"618","was"
"619","hi"
"620","of"
"621","about"
"622","with"
"623","into"
"624","at"
"625","after"
"626","and"
"627","but"
"628","no"
"629","so"
"630","if"
"631","when (question)"
"632","because"
"633","why"
"634","better"
"635","by"
"636","in"
"637","up"
"638","down"
"639","around"
"640","on"
"641","over"
"642","before"
"643","to"
"644","gonna"
"645","don't"
"646","did"
"647","does"
"648","would"
"649","hafta"
"650","how"
"651","will"
"652","can (auxiliary)"
"653","wanna"
"654","gotta"
"655","could"
