"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"12","coke","bathtub","coat","chicken (animal)","feed","sneaker","watch (object)","butter","coat","nap","finger","coat","on","alligator","leg","bathtub","paper","blue","sun","owie","hurt (description)","refrigerator","baby","jello","hammer","scarf","brother","balloon","drink (action)","bye","firetruck","shirt","donut","shorts","slide (object)","sidewalk","hand","stroller","porch","street","hot","shoe","uncle","stick","cook","hide","sticky","soap","little (description)","turkey"
"13","porch","knife","dress (object)","rocking chair","teacher","potato chip","police","tummy","potty","baa baa","french fries","finger","eye","tickle","moose","purse","potato chip","morning","baby","pajamas","ant","bib","moon","bench","diaper","sleep","napkin","moon","napkin","applesauce","glasses","table","broken","purse","story","have","car","juice","need","helicopter","tummy","penny","towel","dog","soup","blanket","love","tuna","catch","motorcycle"
"14","tv","coffee","boots","bird","popcorn","room","glass","stove","bug","church","dry (action)","zoo","chase","tissue","pancake","garage","toy (object)","bathroom","lunch","hair","bedroom","lawn mower","radio","hammer","boat","bug","plate","light","some","leg","turkey","sneaker","shower","leg","porch","see","shirt","dance","brother","melon","candy","basket","pool","green","lamp","tongue","lawn mower","friend","flag","toe"
"15","dryer","muffin","chocolate","balloon","nose","moon","hat","spaghetti","tickle","potty","window","helicopter","wolf","bowl","asleep","owl","basement","yogurt","penguin","broom","child","good night","next to","were","break","stroller","nails","nap","why","cake","airplane","chase","play pen","shovel","lollipop","balloon","roof","baa baa","jello","teddybear","dish","knee","gloves","jelly","soda","camera","broom","sofa","squirrel","bear"
"16","trash","lunch","eye","walker","zipper","slipper","camera","garbage","pajamas","spoon","finish","goose","pancake","smile","coat","crib","finger","helicopter","pillow","have","book","wolf","cheek","bucket","sidewalk","moon","stone","zebra","window","pull","juice","coat","fireman","friend","shower","garbage","fix","long","glasses","under","lady","grandpa","crib","blanket","bottle","towel","tonight","toothbrush","wake","raisin"
"17","shoe","bench","shirt","turtle","bump","fish (animal)","kiss","button","sink","breakfast","poor","gum","pretend","were","porch","snack","bad","deer","donut","noodles","trash","red","sneaker","teacher","blanket","strawberry","moose","doctor","balloon","sandbox","window","is","keys","tissue","elephant","sleepy","bib","lollipop","sneaker","sister","glass","meat","peanut butter","zoo","now","brush (object)","every","old","knee","present"
"18","lick","chair","nap","ankle","playground","button","cook","puppy","bed","mouse","wolf","breakfast","grapes","shorts","door","first","porch","close","meat","slide (object)","arm","cheese","potty","necklace","they","teddybear","zoo","peas","yum yum","arm","party","baby","squirrel","penny","motorcycle","tear","close","teacher","bear","truck","salt","hair","train","cut","tired","chicken (animal)","broken","tissue","penis","cracker"
"19","uh oh","bucket","lips","skate","salt","yard","country","pajamas","block","sink","boat","napkin","spoon","cheek","water (not beverage)","sleep","bicycle","salt","beach","hat","face","mouth","squirrel","walker","drink (action)","big","shower","comb (object)","boy","tricycle","milk","jeans","ladder","tricycle","basement","movie","moose","picture","sandwich","glass","wolf","same","necklace","helicopter","hammer","yucky","pretzel","bed","owl","airplane"
"20","dry (action)","french fries","nails","bathtub","bat","helicopter","ball","beans","movie","tomorrow","table","jar","pool","scarf","wolf","lunch","playground","blanket","peanut butter","ear","slipper","necklace","turkey","knife","who","climb","tiger","bed","clown","clown","truck","mittens","man","go","oven","yard","you","towel","nose","pencil","yesterday","cow","noisy","tongue","yum yum","throw","take","cookie","pool","none"
"21","jeans","fish (food)","horse","snowman","peas","mine","sidewalk","playground","donkey","kitty","doll","our","dry (action)","cloud","coke","hit","strawberry","garden","here","necklace","tiger","lamp","game","mouth","drive","underpants","couch","meat","garden","brother","radio","playground","mittens","lamp","belly button","carry","try","window","put","child","tree","circus","finger","squirrel","bread","sink","radio","arm","couch","coke"
"22","moon","stove","bowl","teacher","splash","nurse","water (beverage)","shoulder","bus","shorts","hen","playground","jacket","green","crayon","break","boat","owl","candy","picture","tooth","eye","myself","bathtub","egg","pretzel","kiss","loud","stove","hungry","boat","circus","stroller","stick","meow","coffee","windy","hamburger","stove","fireman","kiss","stand","grapes","watch (object)","flag","garbage","cat","scarf","shoe","necklace"
"23","next to","hair","woof woof","house","am","baby","she","table","cracker","closet","babysitter","turtle","watch (object)","sidewalk","little (description)","table","baby","soup","quiet","bee","hose","pillow","chair","firetruck","yard","spoon","chin","drink (action)","motorcycle","bench","kitchen","lunch","bib","sandbox","sister","stand","lion","head","pony","belt","plant","shirt","beads","alligator","lady","pumpkin","horse","gloves","zebra","movie"
"24","hold","pick","vitamins","child","police","plant","washing machine","off","zoo","butt","turkey","trash","jar","sandwich","bath","call on phone","fireman","potato chip","outside","face","oven","bunny","star","gotta","ride","sneaker","tooth","pretzel","bear","towel","lamp","peanut butter","splash","kiss","yard","baby","gloves","pillow","shopping","sandbox","alligator","shower","money","radio","paper","sleep","glasses","pillow","call on phone","see"
"25","doctor","owl","squirrel","foot","cowboy","pony","friend","money","potato","stroller","toe","knee","take","grandpa","bunny","ankle","orange (food)","dress (object)","sad","rocking chair","lips","cracker","buy","beads","say","money","cereal","yogurt","hamburger","keys","open (action)","drive","snack","house","drawer","bus","slipper","blanket","mittens","lion","doll","baby","back (location)","tiger","finish","gas station","red","pig","necklace","clean (action)"
"26","alligator","uncle","see","cold","old","purse","flag","bread","home","slide (object)","fall","squirrel","picture","purse","popsicle","car","fork","back (location)","nap","bread","owl","this","keys","can (auxiliary)","girl","vagina","donkey","tooth","bench","woof woof","crib","read","meat","puppy","knife","read","zipper","stone","pig","table","snowsuit","stove","pony","goose","plate","puzzle","tree","donkey","tree","deer"
"27","meow","ladder","us","woods","turkey","stove","stick","finish","child","drink (action)","broom","potty","ice","broom","sled","bed","hers","man","stone","balloon","butt","nurse","roof","store","where (question)","game","black","mailman","pencil","radio","me","plate","comb (object)","hello","window","fix","comb (object)","moon","roof","pajamas","drink (action)","underpants","pen","sock","watch (object)","knee","meow","man","animal","drop"
"28","grandma","wet (description)","bathroom","high","shoe","mailman","store","jacket","tuna","read","woods","find","owie","cry","babysitter","sofa","nose","motorcycle","hurt (description)","lawn mower","yard","sneaker","finish","hamburger","telephone","glasses","please","shirt","see","teddybear","shopping","candy","bring","talk","last","spoon","touch","finish","beans","country","woods","cheek","cut","noisy","yucky","strawberry","circus","bite","she","belly button"
"29","mailman","home","pretzel","closet","helicopter","garbage","bad","fish (food)","get","were","yourself","lady","teacher","doll","bathtub","house","bedroom","picture","smile","puzzle","story","look","beach","belt","cookie","broom","table","play","hand","toy (object)","store","sweep","plate","scarf","puppy","kick","take","radio","rooster","fix","soap","puzzle","chalk","swim","all","yard","woods","kitchen","glasses","cowboy"
"30","night","here","meat","lady","mouth","table","hose","people","boat","sister","cup","vagina","beans","at","plate","kitchen","donut","brother","when (question)","drop","plant","motorcycle","hen","cup","sled","bathtub","hammer","potato","day","shirt","sink","scarf","baby","say","penny","hit","yucky","boat","jacket","frog","helicopter","dryer","scissors","high","bucket","tummy","cow","glasses","apple","climb"
"31","down","stroller","tights","shoulder","cup","drawer","watch (action)","lady","purse","woods","nurse","spoon","wait","brush (object)","bite","mad","hamburger","refrigerator","blanket","arm","jacket","plate","towel","people","bread","french fries","cat","present","food","bug","diaper","head","woods","tractor","sandbox","tickle","glue","today","bath","rocking chair","finger","crib","belt","baa baa","snow","zebra","pillow","turtle","orange (description)","beans"
"32","tummy","grandma","picnic","bunny","cook","carrots","motorcycle","bowl","dance","food","fish (food)","walk","back (location)","nose","choo choo","arm","chair","not","skate","boots","breakfast","woods","boat","chair","play","plant","bug","belt","tree","sidewalk","tonight","hear","sled","playground","balloon","car","bottle","cook","shoulder","penis","toe","roof","mittens","don't","read","drink (action)","foot","jacket","mouth","pool"
"33","here","mine","splash","bench","lady","cheek","quiet","now","need","cracker","party","pants","make","gas station","belt","store","lamp","wind","him","teacher","cheek","purse","splash","grandpa","mine","vacuum","firetruck","baby","porch","but","babysitter","bedroom","spill","grandma","scissors","fish (animal)","us","lawn mower","cup","sticky","book","hold","rocking chair","block","tape","game","fish (food)","cat","bed","porch"
"34","playground","dryer","grass","farm","present","diaper","tired","room","wipe","pour","lawn mower","broom","cowboy","hurt (description)","bee","pillow","telephone","stroller","pretzel","wet (description)","drink (action)","mouse","garbage","lion","morning","jump","picnic","build","deer","lion","money","old","glue","sink","rip","brother","swing (action)","child","knife","snowsuit","couch","applesauce","downtown","stove","empty","with","duck","today","puzzle","dog"
"35","catch","bug","sandwich","car","bottle","bath","picture","bottle","vanilla","alligator","camping","toy (object)","breakfast","be","coffee","picnic","sweater","tree","keys","tummy","milk","drink (action)","frog","radio","skate","jeans","sled","hose","kitty","spaghetti","leg","downtown","bench","write","shirt","puppy","corn","i","sandbox","slide (object)","man","little (description)","muffin","garden","any","bus","poor","tray","sleep","tape"
"36","tiger","clock","get","dish","plate","giraffe","coke","arm","rain","butterfly","fit","hug","fish (food)","hen","horse","food","bucket","bug","touch","ankle","brother","foot","water (not beverage)","child","jar","muffin","face","glasses","other","popsicle","bib","face","purse","fit","windy","applesauce","foot","penis","play dough","play dough","morning","gloves","child","bottle","snack","ride","watch (action)","closet","morning","grass"
"37","box","police","duck","alligator","dryer","nap","knife","put","moose","grapes","last","stick","ant","toothbrush","bowl","blanket","lips","strawberry","dog","tractor","gas station","ant","hungry","lamb","kitchen","sink","aunt","smile","sink","napkin","person","pig","shoulder","peekaboo","mittens","radio","jacket","pool","boy","garden","myself","dog","beans","shorts","doll","shoulder","glue","helicopter","garden","light"
"38","puppy","tape","boat","chair","blanket","full","penguin","plant","turtle","chicken (food)","hurt (description)","shorts","fireman","hand","doll","dog","pancake","gas station","shorts","vitamins","hello","store","are","bottle","give","chase","scissors","napkin","door","lunch","swing (action)","shower","applesauce","tuna","ice","grrr","hers","jello","farm","person","baa baa","open (action)","washing machine","splash","fine","necklace","noodles","raisin","farm","foot"
"39","before","walker","jeans","yellow","lips","sandwich","sprinkler","rain","chin","is","banana","chin","glasses","wolf","sandbox","towel","box","tiger","push","play dough","walker","train","owl","play dough","bathroom","ball","pickle","there","bring","belly button","monkey","country","hose","fireman","breakfast","about","motorcycle","pizza","pillow","aunt","moon","coat","coffee","lion","pencil","sandwich","water (beverage)","yard","babysitter","teddybear"
"40","washing machine","box","noodles","country","pajamas","book","walker","truck","playground","morning","playground","bed","horse","arm","airplane","zoo","leg","broken","tooth","bedroom","hen","picnic","belly button","street","butt","is","pumpkin","butterfly","wipe","potty","carrots","park","bat","hat","doll","cup","moon","belly button","bug","radio","go","scared","pumpkin","child","draw","fork","store","vanilla","yogurt","meat"
"41","sheep","meow","hamburger","banana","slipper","swim","fish (food)","motorcycle","dish","moon","box","potato chip","circus","bat","rooster","chicken (animal)","empty","firetruck","today","heavy","soup","baby","ankle","refrigerator","show","pretend","lunch","water (beverage)","we","zebra","take","beach","blanket","dish","trash","airplane","shoe","house","to","back (location)","finish","pretty","swing (action)","tummy","bicycle","box","pencil","toast","lion","beside"
"42","ear","kitchen","corn","sky","soft","star","throw","pool","garage","potato chip","star","pen","park","bucket","behind","trash","school","roof","snack","orange (description)","penis","uncle","stroller","dish","ear","cracker","pony","share","closet","sandwich","shirt","bee","pillow","blanket","ankle","long","candy","mouse","penis","sock","pillow","elephant","bathtub","garbage","carrots","shh","butterfly","woof woof","rock (object)","stairs"
"43","chair","head","fork","knee","sun","street","big","good night","snack","potato","bunny","chair","zoo","helicopter","cookie","glass","picnic","no","duck","jeans","in","turtle","aunt","stairs","tummy","telephone","alligator","back (location)","bump","sky","hug","stairs","go","crib","before","sock","fork","stove","comb (object)","scarf","bird","snowsuit","good night","peanut butter","popsicle","elephant","cowboy","french fries","beach","snack"
"44","picnic","splash","sister","boat","purse","dryer","dish","kiss","couch","watch (action)","helicopter","cracker","hen","tiger","baa baa","cup","mailman","dish","yourself","bite","bath","stroller","hose","blanket","tongue","wind","coke","radio","flower","box","motorcycle","couch","grass","bottle","put","eye","pudding","washing machine","sister","bubbles","spoon","tickle","hose","fireman","potato chip","coffee","swing (action)","vacuum","pillow","outside"
"45","hers","with","daddy","flag","house","yogurt","table","fireman","police","bug","plate","bathroom","tractor","bicycle","lips","garbage","girl","nurse","diaper","off","dish","orange (description)","pool","drink (action)","banana","lion","pajamas","friend","show","yard","hamburger","picnic","rain","cheek","man","crib","rock (object)","bedroom","penny","bicycle","crib","pickle","stone","could","elephant","hammer","blow","pumpkin","banana","old"
"46","hate","bathroom","vacuum","flower","turtle","not","firetruck","hot","snowman","star","pants","nails","leg","sad","none","french fries","bye","closet","pretty","daddy","bucket","beads","noisy","stone","boy","shirt","bed","other","country","breakfast","windy","jello","salt","vanilla","ladder","owl","snowsuit","cup","country","bat","pumpkin","here","of","book","woof woof","nurse","dryer","outside","arm","bus"
"47","pretzel","noodles","stone","knife","school","cold","towel","hug","deer","pants","purse","day","bat","sick","if","drive","stairs","kick","pencil","hose","hungry","crayon","person","toe","horse","applesauce","belt","hen","carrots","today","chin","big","break","sneaker","belt","giraffe","meow","later","fork","tummy","camera","yogurt","camera","girl","necklace","good night","ouch","daddy","roof","wanna"
"48","lips","black","friend","coat","snow","kitty","nurse","cookie","plant","garden","radio","pillow","sink","clown","pretend","babysitter","tonight","boat","clock","toe","tree","same","gum","doctor","window","him","sandbox","alligator","lamp","mittens","banana","nuts","next to","garage","butterfly","donut","donut","necklace","woods","mop","nap","money","bathroom","cow","boat","glass","watch (object)","corn","shorts","flag"
"49","and","frog","belt","butter","shirt","medicine","of","bump","chicken (food)","clock","swim","radio","old","man","sheep","tape","street","other","bathtub","tree","gum","lunch","high chair","jar","cheek","puzzle","zipper","some","coke","motorcycle","pajamas","flower","plant","beach","moose","goose","chase","kick","cookie","butt","vagina","he","shower","frog","underpants","brother","washing machine","person","turtle","basket"
"50","popsicle","fall","chase","shirt","hat","draw","napkin","me","pretend","jello","monkey","farm","nap","glasses","cheek","washing machine","tights","eat","sandbox","corn","popsicle","man","refrigerator","belly button","clown","tape","basket","circus","grass","bat","sleep","teddybear","slipper","pillow","but","sing","walker","green","walk","horse","roof","washing machine","touch","potty","cry","rain","nuts","train","hold","park"
"51","spoon","read","into","sandbox","underpants","towel","keys","sheep","vagina","ball","shovel","shirt","toast","bunny","police","above","sleepy","aunt","spoon","sneaker","apple","slipper","sheep","penis","eat","knife","lady","watch (object)","help","salt","sidewalk","tractor","sandbox","snowsuit","basket","arm","book","animal","orange (food)","grapes","stove","butterfly","paint (action)","giraffe","wolf","sister","bottle","boat","knife","pig"
"52","coffee","shopping","tray","scarf","jeans","closet","rock (object)","glue","dog","fish (food)","dress (object)","scissors","grandma","head","toe","dryer","eye","sheep","woods","foot","game","door","picnic","climb","cup","crib","cowboy","window","nice","coat","slipper","stove","window","animal","turtle","soft","none","around","ball","us","park","window","puzzle","shirt","day","sneaker","stroller","hammer","table","sit"
"53","mouth","belt","refrigerator","mouse","alligator","mop","sheep","cat","sandbox","hungry","jello","pizza","bib","moon","water (beverage)","friend","bath","owie","fireman","clock","raisin","mop","foot","soup","zebra","necklace","splash","pig","penguin","goose","sister","flag","new","wish","see","loud","farm","refrigerator","coat","her","tractor","slide (object)","person","play pen","jeans","belly button","break","share","bread","strawberry"
"54","flower","lamp","closet","hurt (description)","bee","jump","baby","firetruck","money","picture","sandwich","toast","sweater","picture","present","head","crayon","coke","soda","try","horse","he","soup","foot","coat","talk","head","hot","spoon","store","butterfly","dog","toy (object)","fork","stove","pen","stove","he","paper","garbage","cake","tree","beach","candy","eye","uncle","chicken (animal)","water (beverage)","sister","couch"
"55","cake","am","train","party","water (beverage)","lollipop","nuts","movie","daddy","sun","because","drink (action)","pants","shovel","hat","wash","dish","hug","scissors","blue","dress (object)","nose","ear","broom","tomorrow","jar","meat","play dough","sidewalk","tummy","pool","white","eat","squirrel","boy","knock","pajamas","tooth","house","bedroom","balloon","bicycle","telephone","bucket","boots","animal","give","nice","hair","puzzle"
"56","naughty","moon","coffee","stone","drink (action)","lamp","picnic","rocking chair","butterfly","outside","washing machine","sandwich","block","truck","slide (object)","game","couch","cookie","mouth","buy","before","dish","bath","man","find","belt","tickle","star","bath","necklace","stand","button","knee","plate","girl","medicine","owl","sneaker","if","knife","sneaker","deer","chin","underpants","vroom","tooth","do","potato chip","bib","coffee"
"57","sing","pool","broom","cheek","garage","deer","train","cup","at","mop","chicken (animal)","muffin","clown","person","kitty","bunny","can (auxiliary)","hair","vanilla","truck","tray","hair","deer","need","strawberry","zebra","banana","gum","hammer","on","head","snow","yellow","put","sink","soap","show","jar","bathtub","pumpkin","rock (object)","paper","gentle","door","little (description)","yogurt","quiet","sled","fish (food)","in"
"58","nails","share","diaper","popsicle","beside","bucket","scared","penis","write","beans","girl","babysitter","bench","rain","story","peanut butter","trash","puzzle","choo choo","oven","pony","ball","build","fork","train","snack","flag","hair","shovel","tissue","pen","like","porch","bug","potato chip","pony","bath","pants","moon","deer","give","frog","lemme","nurse","stroller","owie","walk","tape","under","soup"
"59","blanket","telephone","and","pony","sock","rocking chair","woods","porch","cup","those","roof","flag","flower","chicken (animal)","french fries","are","pumpkin","sandbox","farm","closet","fine","dry (action)","cracker","day","knee","table","stove","take","bad","frog","soda","bring","swing (action)","potato","giraffe","cat","fish (food)","lady","baa baa","closet","a lot","bat","you","bat","wipe","corn","carrots","vitamins","bathtub","glue"
"60","egg","drawer","yard","scissors","call on phone","tiger","shoulder","melon","mop","shovel","did","plant","sheep","push","soap","shoulder","broken","snow","carrots","up","mailman","dog","cute","party","hose","did","bird","swing (action)","careful","swing (action)","gas station","bench","put","swim","lunch","chalk","play dough","bug","bowl","bath","cup","red","couch","donut","brush (object)","grrr","eat","breakfast","sweater","mailman"
"61","necklace","walk","present","man","tiny","home","garden","stick","airplane","chalk","run","monkey","sandbox","boy","paper","pumpkin","long","another","bear","sky","with","first","alligator","daddy","hot","fork","owie","jelly","butt","peas","teacher","stroller","heavy","watch (object)","street","chicken (food)","gas station","raisin","slide (object)","share","sheep","sheep","shirt","pony","glasses","monkey","animal","fish (food)","sofa","build"
"62","lady","find","gas station","little (description)","good night","napkin","cowboy","peas","shoe","chair","refrigerator","hear","bunny","tear","bump","sandwich","lady","crayon","sled","jacket","bench","help","stone","wind","flower","helicopter","muffin","sidewalk","climb","these","plant","about","gloves","not","horse","fast","cheek","goose","ankle","night","throw","cold","slipper","walker","push","book","kiss","lunch","smile","tuna"
"63","climb","thirsty","banana","hen","girl","frog","person","donut","cookie","popsicle","pudding","tuna","hungry","tooth","jump","naughty","game","button","dark","bus","store","ladder","eat","pumpkin","knife","ear","yellow","dress (object)","diaper","toe","tricycle","garage","jacket","tiger","zipper","penny","deer","sandwich","sprinkler","goose","chocolate","dance","fork","playground","sleepy","in","hand","doll","applesauce","spoon"
"64","hungry","then","snow","he","park","ladder","read","bed","face","goose","soup","animal","face","sofa","pillow","back (location)","water (not beverage)","box","put","little (description)","potty","monkey","old","paper","go","sick","paper","mouth","zipper","pajamas","tongue","moo","hand","brown","boat","window","could","block","trash","vagina","penguin","dinner","helicopter","plate","head","person","play dough","cut","sheep","morning"
"65","hurt (description)","grapes","so","orange (description)","little (description)","gloves","melon","thank you","play pen","because","knee","box","flag","red","knee","get","teacher","hurt (description)","horse","pretzel","skate","bed","hard","bathroom","hair","us","bench","thank you","frog","knee","street","penny","pour","foot","bathtub","chair","bee","garbage","helicopter","red","brown","light","nails","stairs","try","ladder","clown","look","mittens","window"
"66","spaghetti","put","head","necklace","lamp","were","bee","deer","game","scarf","camera","clock","hand","trash","pants","tray","tricycle","jello","yellow","airplane","fireman","fish (food)","telephone","park","tricycle","arm","dry (action)","leg","duck","game","country","child","shirt","bring","clown","finish","dog","playground","lollipop","picnic","carry","zipper","moon","kitchen","wind","jelly","fit","clown","scared","call on phone"
"67","sneaker","pudding","party","kitchen","pick","slow","puzzle","mouth","tights","refrigerator","shake","fork","bathtub","pull","white","sidewalk","doll","flower","towel","dog","basement","behind","sauce","soda","stone","draw","horse","bring","sleep","make","bus","drawer","broom","lemme","book","zipper","read","potato","grandma","bed","clock","lawn mower","jacket","they","moon","potato chip","please","slide (object)","toy (object)","block"
"68","knee","teddybear","give","muffin","tricycle","next to","sneaker","refrigerator","hat","boat","kitchen","eye","sky","yard","nose","hair","shorts","farm","sweater","spill","tights","black","chin","camera","have","rain","kick","hug","vitamins","dry (action)","tray","bus","pants","sock","refrigerator","moo","peekaboo","sled","hurt (description)","bunny","bedroom","feed","in","for","radio","clock","chase","behind","bird","crayon"
"69","ant","later","nuts","penny","stone","broken","fireman","sofa","don't","sick","heavy","orange (food)","motorcycle","hair","belly button","tiger","blue","popsicle","sleep","room","tired","awake","hamburger","button","roof","keys","vitamins","puppy","donkey","rooster","pizza","moose","garbage","sofa","shoulder","clock","lunch","hurt (description)","doll","tiger","mailman","stay","bubbles","refrigerator","wait","bucket","fine","put","scissors","pickle"
"70","shorts","little (description)","pig","would","hit","grass","owie","blue","french fries","present","sink","hair","bathroom","crib","bottle","diaper","wolf","bunny","last","read","napkin","bus","crib","shorts","woods","hen","sandwich","hafta","teacher","gum","button","soda","grrr","sleepy","pancake","sneaker","black","picnic","zebra","finger","each","white","popsicle","sink","drawer","fireman","chin","dryer","pen","hungry"
"71","red","firetruck","am","goose","push","soap","lion","oven","clock","hug","vitamins","sandbox","basement","shopping","hamburger","block","turkey","same","bus","bat","teacher","him","shorts","friend","fit","hamburger","penis","horse","penny","wolf","peekaboo","play","ant","but","call on phone","bib","plant","girl","pencil","cook","black","teacher","zebra","shovel","fit","muffin","toothbrush","cowboy","doctor","tv"
"72","cheek","tummy","door","daddy","broom","stroller","pool","then","white","spaghetti","pool","corn","dinner","garden","nuts","garden","butter","porch","glass","nap","puppy","crib","truck","pig","tv","dish","truck","boat","please","melon","garden","jelly","potty","street","couch","rooster","spill","shoe","mouse","porch","swing (action)","naughty","brother","pick","pig","napkin","pudding","woods","green","sheep"
"73","banana","bicycle","pretty","spoon","cookie","sprinkler","teacher","girl","happy","dog","horse","house","bucket","button","listen","morning","necklace","rain","scarf","cheek","candy","sidewalk","lamb","could","child","skate","chase","bucket","wait","heavy","tractor","movie","pencil","napkin","foot","head","snowman","shovel","garbage","boots","bicycle","ride","bed","much","store","boots","bed","shorts","brush (object)","brush (object)"
"74","stroller","skate","telephone","sink","ear","grapes","airplane","basket","hose","child","chase","closet","snowsuit","shirt","cow","fish (food)","soda","butt","downtown","water (beverage)","doctor","sled","finger","kiss","mittens","hard","bathtub","woods","cookie","sled","hen","sidewalk","mailman","hammer","cry","pencil","scarf","shirt","belt","cup","spill","snowman","garage","time","here","hair","pretend","bread","play pen","nurse"
"75","about","babysitter","belly button","table","cake","down","pretzel","muffin","spoon","meat","pillow","daddy","dish","say","wipe","water (beverage)","potty","doctor","sofa","better","cup","clown","windy","brother","vacuum","swing (action)","sleepy","like","bib","ankle","room","pony","get","firetruck","bicycle","dish","paper","grandpa","diaper","pancake","dinner","rip","pudding","shoulder","airplane","little (description)","it","glue","tricycle","lady"
"76","broken","tractor","pizza","pumpkin","picnic","pen","pencil","lamp","cereal","basement","downtown","carrots","jelly","toy (object)","he","farm","napkin","chase","chair","nose","bear","pencil","she","ankle","playground","circus","tree","scarf","cat","movie","oven","hen","doctor","red","soda","pour","ear","little (description)","yes","moo","cow","bear","tricycle","shower","money","bee","zoo","sneaker","kitchen","talk"
